development,scenario,veh_km,case_type
273,scenario_26,246138.38337267318,development
277,scenario_26,249258.77077232828,development
28,scenario_26,254333.32439599288,development
284,scenario_26,246551.34459855687,development
285,scenario_26,252257.8824664717,development
289,scenario_26,251949.3521361107,development
308,scenario_26,248533.96608316578,development
331,scenario_26,252155.7857347529,development
334,scenario_26,244632.88819916564,development
348,scenario_26,254018.89741700306,development
351,scenario_26,251756.85937240362,development
356,scenario_26,248852.74812899026,development
358,scenario_26,251391.21576604812,development
390,scenario_26,248123.24899271806,development
392,scenario_26,245498.93685010946,development
394,scenario_26,246842.29868329968,development
423,scenario_26,245468.80098748484,development
459,scenario_26,249351.70015035907,development
464,scenario_26,245404.16683392812,development
469,scenario_26,249581.5011976482,development
486,scenario_26,252262.15444970346,development
493,scenario_26,245422.5681479733,development
499,scenario_26,249417.41299533777,development
517,scenario_26,245965.8941547178,development
521,scenario_26,254738.49848366895,development
531,scenario_26,250283.03802766997,development
533,scenario_26,247111.38667095208,development
538,scenario_26,246456.55464651206,development
540,scenario_26,246348.34379108474,development
546,scenario_26,245990.1500999417,development
550,scenario_26,246880.94141582085,development
552,scenario_26,246899.90121950267,development
556,scenario_26,246220.5384456519,development
557,scenario_26,228943.6166848777,development
558,scenario_26,252894.92596866697,development
564,scenario_26,252048.09873185135,development
565,scenario_26,248079.93158886163,development
569,scenario_26,246205.78980460204,development
57,scenario_26,245592.981261259,development
594,scenario_26,248861.9283688772,development
602,scenario_26,248049.73728928695,development
612,scenario_26,255490.23155540408,development
614,scenario_26,246459.79800903675,development
62,scenario_26,245549.8951225385,development
625,scenario_26,247025.92174811906,development
627,scenario_26,246715.18201907605,development
628,scenario_26,246599.55578363762,development
629,scenario_26,246273.3946038595,development
63,scenario_26,252428.43425263066,development
648,scenario_26,246774.64102327495,development
662,scenario_26,254684.8543433147,development
669,scenario_26,244754.13592186783,development
670,scenario_26,247194.28642514526,development
673,scenario_26,245041.3269125486,development
678,scenario_26,250440.31863880213,development
680,scenario_26,248035.6444572634,development
682,scenario_26,252906.8360747155,development
689,scenario_26,252253.21943483877,development
694,scenario_26,247180.4665635199,development
726,scenario_26,246586.66307035182,development
73,scenario_26,247653.55217068843,development
736,scenario_26,245467.40486937357,development
750,scenario_26,252449.35929695488,development
755,scenario_26,247332.3578514789,development
759,scenario_26,255496.6944432409,development
761,scenario_26,245365.6403809306,development
764,scenario_26,248919.71479421188,development
767,scenario_26,245378.10358136165,development
770,scenario_26,245515.1321220761,development
775,scenario_26,252043.04102727398,development
776,scenario_26,247072.10177540706,development
780,scenario_26,246606.85563840164,development
789,scenario_26,252928.01286106498,development
791,scenario_26,248073.00013678198,development
809,scenario_26,248196.80134543113,development
810,scenario_26,248767.3221325457,development
811,scenario_26,245580.38007211543,development
