development,scenario,veh_km,status_quo_veh_km,delta_veh_km,delta_pct
0,scenario_19,540144.3768610478,541239.4593620441,-1095.082500996301,-0.2023286517740352
103,scenario_19,555740.259149304,541239.4593620441,14500.799787259893,2.6791837765029003
104,scenario_19,541988.059017279,541239.4593620441,748.599655234837,0.13831209869975244
109,scenario_19,563595.4993590092,541239.4593620441,22356.03999696509,4.1305266292513165
114,scenario_19,544011.3827429983,541239.4593620441,2771.923380954191,0.5121436238631679
12,scenario_19,546085.6664550728,541239.4593620441,4846.207093028701,0.895390572361612
126,scenario_19,555596.7929620794,541239.4593620441,14357.333600035287,2.652676805375239
140,scenario_19,541888.2682862545,541239.4593620441,648.8089242103742,0.11987465307409803
143,scenario_19,541377.0105449918,541239.4593620441,137.55118294770364,0.025414108407734063
144,scenario_19,549826.2089951608,541239.4593620441,8586.749633116648,1.58649734135013
15,scenario_19,540283.0836133867,541239.4593620441,-956.3757486573886,-0.1767010390899184
150,scenario_19,550527.9265536184,541239.4593620441,9288.46719157428,1.7161474520949644
152,scenario_19,510683.9438029451,541239.4593620441,-30555.515559099033,-5.645470785724797
17,scenario_19,558444.2075616597,541239.4593620441,17204.748199615628,3.1787682701284874
176,scenario_19,543890.8472709152,541239.4593620441,2651.387908871053,0.4898733569788553
177,scenario_19,541318.3251348925,541239.4593620441,78.86577284836676,0.014571327253435181
195,scenario_19,550924.7492486541,541239.4593620441,9685.28988661,1.7894648512926232
197,scenario_19,543287.8766343256,541239.4593620441,2048.4172722814837,0.3784678365276511
2,scenario_19,554403.2953093696,541239.4593620441,13163.835947325453,2.4321648615275744
201,scenario_19,555911.8771997504,541239.4593620441,14672.417837706278,2.710892116956989
202,scenario_19,547060.8653534842,541239.4593620441,5821.405991440057,1.0755693973794362
206,scenario_19,543108.2134903534,541239.4593620441,1868.754128309316,0.3452730757125517
209,scenario_19,546842.8791109552,541239.4593620441,5603.419748911052,1.0352940185691137
227,scenario_19,542323.3652794507,541239.4593620441,1083.9059174065478,0.2002636538518721
233,scenario_19,542919.6158375975,541239.4593620441,1680.1564755534055,0.31042756519153214
240,scenario_19,542467.5641588836,541239.4593620441,1228.1047968395287,0.22690599800079042
243,scenario_19,557990.602240085,541239.4593620441,16751.142878040904,3.0949596501676693
245,scenario_19,550945.360645618,541239.4593620441,9705.901283573941,1.7932730357491364
249,scenario_19,556022.7427756463,541239.4593620441,14783.283413602156,2.731375763146894
25,scenario_19,551770.8292489616,541239.4593620441,10531.369886917528,1.9457875261590856
250,scenario_19,545219.0157698517,541239.4593620441,3979.5564078076277,0.7352672350420104
254,scenario_19,505506.10461031925,541239.4593620441,-35733.354751724866,-6.602134070905246
255,scenario_19,543817.6065342946,541239.4593620441,2578.1471722504357,0.4763413176284825
261,scenario_19,545941.9724970505,541239.4593620441,4702.513135006418,0.86884151804993
