scenario,developments,positive_developments,mean_total_tts,median_total_tts,min_total_tts,max_total_tts,mean_network_savings,mean_access_savings
scenario_19,138,53,-9543.250453046163,-5656.362361848587,-125667.40946974931,264720.94664398604,-10455.665705515306,912.4152524693069
scenario_29,138,43,-3065.309662155512,-2187.915970622329,-33789.05412384146,67689.61329075508,-3977.7249149300546,912.4152527745263
scenario_30,138,47,-4574.610653071257,-2591.907140596013,-57579.413485296536,119511.39771122253,-5487.025905803637,912.4152527323457
