development,scenario,rank_type,rank_value,ID_edge,length_m,flow,capacity,flow_capacity_ratio,fftt_min,tt_min,delay_min
0,scenario_19,flow_capacity_ratio,8.00751810107681,129,3327.5142290398862,5837.480695684995,729.0,8.00751810107681,2.079696393149929,78.6984313360404,76.61873494289047
0,scenario_19,flow_capacity_ratio,8.00751810107681,130,225.05482885543543,5837.480695684995,729.0,8.00751810107681,0.13503289731326126,5.109821429857226,4.974788532543966
0,scenario_19,flow_capacity_ratio,5.904101665356242,178,6719.55714161299,5904.101665356242,1000.0,5.904101665356242,5.039667856209742,94.39307324447856,89.35340538826881
0,scenario_19,flow_capacity_ratio,3.842896215215903,98,2007.6948653871616,5902.688586571627,1536.0,3.842896215215903,1.115386036326201,8.171181543407071,7.05579550708087
0,scenario_19,flow_capacity_ratio,3.236917255839451,126,1897.1851262924465,5862.057150325246,1811.0,3.236917255839451,1.073878373373083,5.573862064009533,4.49998369063645
0,scenario_19,flow_capacity_ratio,3.0217057762762147,128,1875.2605068342427,5843.978971318199,1934.0,3.0217057762762147,0.9783967861743875,4.454240538337387,3.4758437521629992
0,scenario_19,flow_capacity_ratio,2.712837621367009,92,2550.193392452562,5876.006287880941,2166.0,2.712837621367009,1.577439211826327,5.903670759068437,4.32623154724211
0,scenario_19,flow_capacity_ratio,2.6534003162204525,174,6978.5477473254405,5837.480695684995,2200.0,2.6534003162204525,4.187128648395264,15.076002765506914,10.88887411711165
0,scenario_19,flow_capacity_ratio,2.6534003162204525,175,5286.2980122217705,5837.480695684995,2200.0,2.6534003162204525,3.1717788073330624,11.420175993220518,8.248397185887455
0,scenario_19,flow_capacity_ratio,2.6534003162204525,176,4439.9389635413945,5837.480695684995,2200.0,2.6534003162204525,2.663963378124837,9.591756697327993,6.927793319203156
0,scenario_19,delay_min,89.35340538826881,178,6719.55714161299,5904.101665356242,1000.0,5.904101665356242,5.039667856209742,94.39307324447856,89.35340538826881
0,scenario_19,delay_min,76.61873494289047,129,3327.5142290398862,5837.480695684995,729.0,8.00751810107681,2.079696393149929,78.6984313360404,76.61873494289047
0,scenario_19,delay_min,10.88887411711165,174,6978.5477473254405,5837.480695684995,2200.0,2.6534003162204525,4.187128648395264,15.076002765506914,10.88887411711165
0,scenario_19,delay_min,10.076625480454489,68,8865.80644588534,5837.480695684995,2335.0,2.499991732627407,4.470154510530423,14.546779990984913,10.076625480454489
0,scenario_19,delay_min,9.444024926850824,61,8361.831024084971,5837.480695684995,2333.0,2.502134888849119,4.1809155120424855,13.62494043889331,9.444024926850824
0,scenario_19,delay_min,8.248397185887455,175,5286.2980122217705,5837.480695684995,2200.0,2.6534003162204525,3.1717788073330624,11.420175993220518,8.248397185887455
0,scenario_19,delay_min,7.05579550708087,98,2007.6948653871616,5902.688586571627,1536.0,3.842896215215903,1.115386036326201,8.171181543407071,7.05579550708087
0,scenario_19,delay_min,6.927793319203156,176,4439.9389635413945,5837.480695684995,2200.0,2.6534003162204525,2.663963378124837,9.591756697327993,6.927793319203156
0,scenario_19,delay_min,6.293304080617457,32,4235.803391000821,5837.480695684995,2391.0,2.4414390195253013,2.9552116681401075,9.248515748757564,6.293304080617457
0,scenario_19,delay_min,5.825248986616426,63,5114.75070314698,5837.480695684995,2333.0,2.502134888849119,2.578865900746377,8.404114887362804,5.825248986616426
9,scenario_19,flow_capacity_ratio,7.592002219677063,129,3327.5142290398862,5534.569618144579,729.0,7.592002219677063,2.079696393149929,69.500687213463,67.42099082031307
9,scenario_19,flow_capacity_ratio,7.592002219677063,130,225.05482885543543,5534.569618144579,729.0,7.592002219677063,0.13503289731326126,4.51261981826213,4.377586920948869
9,scenario_19,flow_capacity_ratio,5.597591601527287,178,6719.55714161299,5597.591601527287,1000.0,5.597591601527287,5.039667856209742,83.6618015564811,78.62213370027135
9,scenario_19,flow_capacity_ratio,3.6437634349155736,98,2007.6948653871616,5596.820636030321,1536.0,3.6437634349155736,1.115386036326201,7.325300640594041,6.209914604267841
9,scenario_19,flow_capacity_ratio,3.0691097122406066,126,1897.1851262924465,5558.157688867738,1811.0,3.0691097122406066,1.073878373373083,5.034149299562207,3.960270926189124
9,scenario_19,flow_capacity_ratio,2.8649219175889655,128,1875.2605068342427,5540.758988617059,1934.0,2.8649219175889655,0.9783967861743875,4.037018180287709,3.0586213941133216
9,scenario_19,flow_capacity_ratio,2.572171536428072,92,2550.193392452562,5571.323547903205,2166.0,2.572171536428072,1.577439211826327,5.384698617195592,3.8072594053692645
9,scenario_19,flow_capacity_ratio,2.5157134627929905,174,6978.5477473254405,5534.569618144579,2200.0,2.5157134627929905,4.187128648395264,13.768841038198302,9.581712389803037
9,scenario_19,flow_capacity_ratio,2.5157134627929905,175,5286.2980122217705,5534.569618144579,2200.0,2.5157134627929905,3.1717788073330624,10.429991976299204,7.258213168966142
9,scenario_19,flow_capacity_ratio,2.5157134627929905,176,4439.9389635413945,5534.569618144579,2200.0,2.5157134627929905,2.663963378124837,8.760105400401368,6.096142022276531
9,scenario_19,delay_min,78.62213370027135,178,6719.55714161299,5597.591601527287,1000.0,5.597591601527287,5.039667856209742,83.6618015564811,78.62213370027135
9,scenario_19,delay_min,67.42099082031307,129,3327.5142290398862,5534.569618144579,729.0,7.592002219677063,2.079696393149929,69.500687213463,67.42099082031307
9,scenario_19,delay_min,9.581712389803037,174,6978.5477473254405,5534.569618144579,2200.0,2.5157134627929905,4.187128648395264,13.768841038198302,9.581712389803037
