scenario,development,dev_od_rows,dev_total_demand,dev_mean_tt_min_unweighted,dev_median_tt_min_unweighted,dev_weighted_mean_tt_min,dev_p95_tt_min_unweighted,dev_max_tt_min,sq_od_rows,sq_total_demand,sq_mean_tt_min_unweighted,sq_median_tt_min_unweighted,sq_weighted_mean_tt_min,sq_p95_tt_min_unweighted,sq_max_tt_min,tts_weighted_mean_min,tts_unweighted_mean_min,tts_median_min,delta_total_demand_dev_minus_sq
scenario_100,28,992,6721.262773873981,57.59827344651117,61.93835757665324,54.643466315039085,70.3316765573761,78.6292710066941,930,6637.24180971538,57.40675113479339,62.32867084309775,54.94221855053591,70.31998344262475,76.54442547338846,0.2987522354968277,-0.1915223117177831,0.39031326644450814,84.02096415860069
scenario_100,109,992,6798.119125570386,59.52162162129652,64.27341627384324,56.98957572424004,72.46106544934509,78.73640439743514,930,6637.24180971538,57.40675113479339,62.32867084309775,54.94221855053591,70.31998344262475,76.54442547338846,-2.0473571737041283,-2.114870486503129,-1.9447454307454919,160.8773158550057
scenario_100,254,930,6240.204118604868,53.6059628660127,58.13642420378371,50.92391173470232,66.09832165433565,72.29619368133459,930,6637.24180971538,57.40675113479339,62.32867084309775,54.94221855053591,70.31998344262475,76.54442547338846,4.01830681583359,3.8007882687806855,4.192246639314035,-397.03769111051224
scenario_100,267,992,6680.808187109214,57.65362542171444,62.27940603244876,54.61945321441711,70.29931191235133,76.43518654600159,930,6637.24180971538,57.40675113479339,62.32867084309775,54.94221855053591,70.31998344262475,76.54442547338846,0.322765336118799,-0.24687428692104874,0.04926481064898525,43.566377393833136
scenario_19,28,992,10131.425515891278,99.24470455328752,107.21701542090423,93.30882256443805,117.94085796222427,126.75608417053758,930,10004.725529239464,99.61187914086929,108.22264233074644,94.9980532258082,118.19803129924478,124.85660090118242,1.6892306613701606,0.367174587581772,1.0056269098422064,126.69998665181447
scenario_19,109,992,10247.288085326818,104.5672675371667,113.32870485593162,99.74301862310202,123.5951883501537,130.09900690056193,930,10004.725529239464,99.61187914086929,108.22264233074644,94.9980532258082,118.19803129924478,124.85660090118242,-4.744965397293811,-4.955388396297408,-5.10606252518518,242.5625560873541
scenario_19,254,930,9406.061138683031,89.36638797659897,96.99256140860642,84.5617266897095,106.90534312592571,113.46475345320543,930,10004.725529239464,99.61187914086929,108.22264233074644,94.9980532258082,118.19803129924478,124.85660090118242,10.436326536098704,10.24549116427032,11.230080922140019,-598.6643905564324
scenario_19,267,992,10070.325350513387,100.03686184705957,108.26917969520119,94.41522648637681,117.87228026945337,124.55370153000418,930,10004.725529239464,99.61187914086929,108.22264233074644,94.9980532258082,118.19803129924478,124.85660090118242,0.5828267394313968,-0.4249827061902778,-0.04653736445474976,65.59982127392323
scenario_26,28,992,4598.088676033247,42.70900505964937,45.587834667251194,40.87980507819692,53.586245303179275,61.48218502522396,930,4540.663259143899,42.32420857988873,45.716838897061166,40.68316829594808,53.367209811895165,59.2921192442592,-0.19663678224883796,-0.384796479760638,0.12900422980997206,57.425416889347616
scenario_26,109,992,4650.643463030267,43.43623660349418,46.614704740086225,41.770417022713886,54.20195854717012,60.4966181793266,930,4540.663259143899,42.32420857988873,45.716838897061166,40.68316829594808,53.367209811895165,59.2921192442592,-1.0872487267658073,-1.112028023605447,-0.897865843025059,109.98020388636814
scenario_26,254,930,4269.2836217228,40.79826821764113,44.052728925403144,38.94905294244372,51.66838636011133,57.588686393327166,930,4540.663259143899,42.32420857988873,45.716838897061166,40.68316829594808,53.367209811895165,59.2921192442592,1.7341153535043574,1.5259403622476029,1.6641099716580214,-271.3796374210997
scenario_26,267,992,4570.5612096499935,42.50569255996492,45.72887968331197,40.45267988048292,53.28305444769665,59.24305091790311,930,4540.663259143899,42.32420857988873,45.716838897061166,40.68316829594808,53.367209811895165,59.2921192442592,0.2304884154651603,-0.18148398007618738,-0.0120407862508074,29.897950506094276
scenario_44,28,992,7757.230992909386,67.76109605619723,72.98595877868567,64.09316797945117,81.98303814737113,90.39945520377337,930,7660.214081615989,67.7157711196842,73.55513677224324,64.73315484820375,81.88961558454983,88.3529303446348,0.6399868687525867,-0.04532493651302616,0.5691779935575738,97.01691129339724
scenario_44,109,992,7845.948471774449,70.51322574855536,76.31926210918576,67.44068291998614,84.98305510783048,91.29063380904904,930,7660.214081615989,67.7157711196842,73.55513677224324,64.73315484820375,81.88961558454983,88.3529303446348,-2.7075280717823915,-2.797454628871151,-2.764125336942513,185.73439015845997
scenario_44,254,930,7201.796258827181,62.34240868720542,67.64163486859849,59.14386928603972,75.91376263922609,82.35605346726065,930,7660.214081615989,67.7157711196842,73.55513677224324,64.73315484820375,81.88961558454983,88.3529303446348,5.5892855621640365,5.373362432478785,5.913501903644757,-458.4178227888078
scenario_44,267,992,7710.426793717192,67.99647997268501,73.55961095728406,64.34736232481269,81.83808676514195,88.19659752296481,930,7660.214081615989,67.7157711196842,73.55513677224324,64.73315484820375,81.88961558454983,88.3529303446348,0.3857925233910606,-0.28070885300080306,-0.004474185040820089,50.21271210120267
scenario_64,28,992,9600.117131298472,91.11841695851022,98.36990405214323,85.75109127748743,108.65535914944833,117.39067790219184,930,9479.923166176046,91.37712042026531,99.29072157910944,87.17667562804665,108.8184337355621,115.45340377811455,1.4255843505592196,0.25870346175508985,0.9208175269662178,120.19396512242565
scenario_64,109,992,9709.963304356686,95.78628407658174,103.78826186032086,91.4008051300822,113.7053158283776,120.10738852631837,930,9479.923166176046,91.37712042026531,99.29072157910944,87.17667562804665,108.8184337355621,115.45340377811455,-4.224129502035552,-4.409163656316423,-4.497540281211414,230.0401381806405
scenario_64,254,930,8912.050500429017,82.37867698971267,89.4152657172549,77.97859413931262,98.89644720569032,105.4390063011545,930,9479.923166176046,91.37712042026531,99.29072157910944,87.17667562804665,108.8184337355621,115.45340377811455,9.198081488734033,8.99844343055264,9.875455861854547,-567.8726657470288
scenario_64,267,992,9541.856125690309,91.77270690589229,99.31100257863523,86.64951416609271,108.51644884917863,115.19099622933591,930,9479.923166176046,91.37712042026531,99.29072157910944,87.17667562804665,108.8184337355621,115.45340377811455,0.5271614619539378,-0.3955864856269784,-0.020280999525780885,61.93295951426262
scenario_70,28,992,6341.205688511291,54.36492343043334,58.423382625344765,51.65660946283452,66.64368832227285,74.89940135058919,930,6261.989540893073,54.128093163172544,58.73336642039433,51.84625807849677,66.65573452773012,72.80463557445354,0.1896486156622501,-0.2368302672607996,0.3099837950495683,79.21614761821729
scenario_70,109,992,6413.694444977131,56.02433238192269,60.48565362709171,53.68370358179751,68.47270231117625,74.76020626345095,930,6261.989540893073,54.128093163172544,58.73336642039433,51.84625807849677,66.65573452773012,72.80463557445354,-1.8374455033007422,-1.8962392187501464,-1.7522872066973747,151.7049040840575
scenario_70,254,930,5887.633816675049,50.82720280436158,55.10480292813511,48.327376026808274,62.97633127519729,69.11217778838561,930,6261.989540893073,54.128093163172544,58.73336642039433,51.84625807849677,66.65573452773012,72.80463557445354,3.518882051688493,3.3008903588109604,3.628563492259225,-374.3557242180241
scenario_70,267,992,6303.181396543991,54.36236503329588,58.70769402100842,51.54231679727516,66.64019292829386,72.70832159411631,930,6261.989540893073,54.128093163172544,58.73336642039433,51.84625807849677,66.65573452773012,72.80463557445354,0.30394128122160424,-0.2342718701233366,0.02567239938591115,41.191855650917205
scenario_75,28,992,7772.826791917885,67.92770164527876,73.16780246686793,64.24613777315565,82.1740193147963,90.59235090788019,930,7675.598406325596,67.88475949879533,73.73910212976361,64.89223595212003,82.07925783702065,88.54666554456625,0.6460981789643796,-0.04294214648342631,0.571299662895683,97.22838559228876
scenario_75,109,992,7861.729445720973,70.69409405779636,76.51621660055082,67.6109707015383,85.18975371811428,91.49704050838615,930,7675.598406325596,67.88475949879533,73.73910212976361,64.89223595212003,82.07925783702065,88.54666554456625,-2.7187347494182745,-2.80933455900103,-2.777114470787211,186.13103939537632
scenario_75,254,930,7216.191665314043,62.484759524534034,67.79633121545051,59.27633354957014,76.07390656459819,82.52019439209678,930,7675.598406325596,67.88475949879533,73.73910212976361,64.89223595212003,82.07925783702065,88.54666554456625,5.615902402549892,5.3999999742612985,5.942770914313101,-459.4067410115531
scenario_75,267,992,7725.889414090995,68.16640365832275,73.74451273838397,64.50582954086534,82.02708115808525,88.38978180618348,930,7675.598406325596,67.88475949879533,73.73910212976361,64.89223595212003,82.07925783702065,88.54666554456625,0.386406411254697,-0.28164415952741706,-0.00541060862036602,50.29100776539872
scenario_78,28,992,10522.79949059171,105.5392777219045,114.0733977518926,99.12435982961684,125.05999344747941,134.03106803065253,930,10391.082934411694,105.99881345135772,115.13933939965554,101.03038295286392,125.49191133210157,132.16598729182166,1.9060231232470812,0.4595357294532221,1.0659416477629406,131.7165561800157
scenario_78,109,992,10643.1900165677,111.38662521840739,120.73022887223706,106.18706820350735,131.29651151080998,137.87482910261457,930,10391.082934411694,105.99881345135772,115.13933939965554,101.03038295286392,125.49191133210157,132.16598729182166,-5.156685250643434,-5.387811767049669,-5.590889472581523,252.10708215600607
scenario_78,254,930,9768.76621583745,94.76459512691343,102.84769721193032,89.61370356450372,113.11198170374698,119.68191904848737,930,10391.082934411694,105.99881345135772,115.13933939965554,101.03038295286392,125.49191133210157,132.16598729182166,11.416679388360194,11.234218324444285,12.291642187725216,-622.3167185742441
scenario_78,267,992,10459.012432458003,106.44959817130244,115.19468963708906,100.41327431865201,125.15349544844834,131.83671656648565,930,10391.082934411694,105.99881345135772,115.13933939965554,101.03038295286392,125.49191133210157,132.16598729182166,0.6171086342119025,-0.45078471994472125,-0.055350237433515304,67.92949804630916
scenario_89,28,992,6500.724343630511,55.67726133749372,59.8510563345095,52.85960554625472,68.14097947191947,76.41612647082802,930,6419.4262517908755,55.46025445503693,60.20904705693813,53.09547674111731,68.14515440053952,74.32569719658991,0.23587119486258956,-0.21700688245678634,0.3579907224286316,81.29809183963516
scenario_89,109,992,6575.069511407109,57.446372753181485,62.02862890334045,55.01956399922973,70.09616391189176,76.37872675114322,930,6419.4262517908755,55.46025445503693,60.20904705693813,53.09547674111731,68.14515440053952,74.32569719658991,-1.9240872581124222,-1.9861182981445538,-1.8195818464023148,155.64325961623308
scenario_89,254,930,6035.281221506397,51.95315887383378,56.334627958099965,49.370470606072466,64.23734829354447,70.40398100703223,930,6419.4262517908755,55.46025445503693,60.20904705693813,53.09547674111731,68.14515440053952,74.32569719658991,3.7250061350448433,3.507095581203153,3.8744190988381675,-384.1450302844787
scenario_89,267,992,6461.510000805674,55.69991730156172,60.159786403631855,52.78570570605182,68.13482709874711,74.22572178849852,930,6419.4262517908755,55.46025445503693,60.20904705693813,53.09547674111731,68.14515440053952,74.32569719658991,0.30977103506548787,-0.2396628465247872,0.049260653306276936,42.08374901479874
scenario_96,28,992,6899.20170166612,59.19196661317339,63.66723327334837,56.11115765127482,72.15683958356706,80.47178915188826,930,6812.882308974937,59.023662817198094,64.0831072121727,56.465285440715334,72.13795222896327,78.39275252880168,0.35412778944051126,-0.168303795975298,0.4158739388243333,86.31939269118357
scenario_96,109,992,6978.123886791602,61.24764773124139,66.14269492903497,58.61739973781355,74.4023217905329,80.70288635063142,930,6812.882308974937,59.023662817198094,64.0831072121727,56.465285440715334,72.13795222896327,78.39275252880168,-2.1521142970982154,-2.2239849140432995,-2.059587716862268,165.24157781666509
