BFS,GEMEINDENA,Commune,ID_point,Station,station_name,base_accessibility,dev_100000,dev_100001,dev_100002,dev_100003,dev_100004,dev_100005,dev_101000,dev_101001,dev_101002,dev_101003,dev_101004,dev_101005,dev_101006,dev_101007,dev_101008,dev_101009,dev_101010,dev_101011,dev_101012,dev_101013,dev_101014,dev_101015,dev_101016,dev_101017,dev_101018,dev_101019,dev_101020,dev_101021,dev_101022,dev_101023,dev_101024,dev_101025,dev_101026,dev_101027,dev_101028,dev_101029,dev_101030,dev_101031,dev_101032,delta_101023,delta_pct_101023,delta_101017,delta_pct_101017,delta_101030,delta_pct_101030,delta_101001,delta_pct_101001,delta_101012,delta_pct_101012,delta_101000,delta_pct_101000,delta_101027,delta_pct_101027,delta_101029,delta_pct_101029,delta_101020,delta_pct_101020,delta_101014,delta_pct_101014,delta_101011,delta_pct_101011,delta_101006,delta_pct_101006,delta_101025,delta_pct_101025,delta_101018,delta_pct_101018,delta_101009,delta_pct_101009,delta_101005,delta_pct_101005,delta_101004,delta_pct_101004,delta_101032,delta_pct_101032,delta_101019,delta_pct_101019,delta_101007,delta_pct_101007,delta_101015,delta_pct_101015,delta_101022,delta_pct_101022,delta_100004,delta_pct_100004,delta_100002,delta_pct_100002,delta_100001,delta_pct_100001,delta_100005,delta_pct_100005,delta_101003,delta_pct_101003,delta_101013,delta_pct_101013,delta_101008,delta_pct_101008,delta_101024,delta_pct_101024,delta_101028,delta_pct_101028,delta_101026,delta_pct_101026,delta_101010,delta_pct_101010,delta_101031,delta_pct_101031,delta_100003,delta_pct_100003,delta_101021,delta_pct_101021,delta_100000,delta_pct_100000,delta_101002,delta_pct_101002,delta_101016,delta_pct_101016
10,Obfelden,Obfelden,28,Affoltern am Albis,Affoltern am Albis,8029.7350576652725,7214.430219355292,7214.430219355292,7214.430219355292,7214.430219355292,7214.430219355292,7214.430219355292,7214.430219355292,7504.582062992772,7302.221709824626,7214.430219355292,7214.430219355292,7214.430219355292,7214.430219355292,7214.430219355292,7235.181611868786,7214.430219355292,7214.430219355292,7214.430219355292,6154.566258182698,7214.430219355292,7214.430219355292,7214.430219355292,7371.878835582112,7214.430219355292,7214.430219355292,7214.430219355292,7214.430219355292,7214.430219355292,7214.430219355292,6049.587208507003,7214.430219355292,7214.430219355292,7214.430219355292,7214.430219355292,7214.430219355292,7281.213503209516,7214.430219355292,7214.430219355292,7214.430219355292,1980.1478491582693,24.660189096376207,815.3048383099804,10.15357085202558,815.3048383099804,10.15357085202558,525.1529946725004,6.540103638552602,1875.1687994825743,23.352810348238297,815.3048383099804,10.15357085202558,815.3048383099804,10.15357085202558,748.5215544557568,9.321871133733236,815.3048383099804,10.15357085202558,815.3048383099804,10.15357085202558,815.3048383099804,10.15357085202558,815.3048383099804,10.15357085202558,815.3048383099804,10.15357085202558,815.3048383099804,10.15357085202558,815.3048383099804,10.15357085202558,815.3048383099804,10.15357085202558,815.3048383099804,10.15357085202558,815.3048383099804,10.15357085202558,815.3048383099804,10.15357085202558,815.3048383099804,10.15357085202558,815.3048383099804,10.15357085202558,815.3048383099804,10.15357085202558,815.3048383099804,10.15357085202558,815.3048383099804,10.15357085202558,815.3048383099804,10.15357085202558,815.3048383099804,10.15357085202558,815.3048383099804,10.15357085202558,815.3048383099804,10.15357085202558,794.5534457964868,9.895139006336173,815.3048383099804,10.15357085202558,815.3048383099804,10.15357085202558,815.3048383099804,10.15357085202558,815.3048383099804,10.15357085202558,815.3048383099804,10.15357085202558,815.3048383099804,10.15357085202558,815.3048383099804,10.15357085202558,815.3048383099804,10.15357085202558,727.5133478406469,9.060240999435651,657.8562220831609,8.19275128455408
11,Ottenbach,Ottenbach,28,Affoltern am Albis,Affoltern am Albis,8029.7350576652725,7214.430219355292,7214.430219355292,7214.430219355292,7214.430219355292,7214.430219355292,7214.430219355292,7214.430219355292,7504.582062992772,7302.221709824626,7214.430219355292,7214.430219355292,7214.430219355292,7214.430219355292,7214.430219355292,7235.181611868786,7214.430219355292,7214.430219355292,7214.430219355292,6154.566258182698,7214.430219355292,7214.430219355292,7214.430219355292,7371.878835582112,7214.430219355292,7214.430219355292,7214.430219355292,7214.430219355292,7214.430219355292,7214.430219355292,6049.587208507003,7214.430219355292,7214.430219355292,7214.430219355292,7214.430219355292,7214.430219355292,7281.213503209516,7214.430219355292,7214.430219355292,7214.430219355292,1980.1478491582693,24.660189096376207,815.3048383099804,10.15357085202558,815.3048383099804,10.15357085202558,525.1529946725004,6.540103638552602,1875.1687994825743,23.352810348238297,815.3048383099804,10.15357085202558,815.3048383099804,10.15357085202558,748.5215544557568,9.321871133733236,815.3048383099804,10.15357085202558,815.3048383099804,10.15357085202558,815.3048383099804,10.15357085202558,815.3048383099804,10.15357085202558,815.3048383099804,10.15357085202558,815.3048383099804,10.15357085202558,815.3048383099804,10.15357085202558,815.3048383099804,10.15357085202558,815.3048383099804,10.15357085202558,815.3048383099804,10.15357085202558,815.3048383099804,10.15357085202558,815.3048383099804,10.15357085202558,815.3048383099804,10.15357085202558,815.3048383099804,10.15357085202558,815.3048383099804,10.15357085202558,815.3048383099804,10.15357085202558,815.3048383099804,10.15357085202558,815.3048383099804,10.15357085202558,815.3048383099804,10.15357085202558,815.3048383099804,10.15357085202558,794.5534457964868,9.895139006336173,815.3048383099804,10.15357085202558,815.3048383099804,10.15357085202558,815.3048383099804,10.15357085202558,815.3048383099804,10.15357085202558,815.3048383099804,10.15357085202558,815.3048383099804,10.15357085202558,815.3048383099804,10.15357085202558,815.3048383099804,10.15357085202558,727.5133478406469,9.060240999435651,657.8562220831609,8.19275128455408
152,Herrliberg,Herrliberg,999,Herrliberg-Feldmeilen,Herrliberg-Feldmeilen,5007.790152837094,5007.790152837094,5007.790152837094,5007.790152837094,5007.790152837094,5007.790152837094,5007.790152837094,5007.790152837094,5007.790152837094,5007.790152837094,5007.790152837094,5007.790152837094,5007.790152837094,5007.790152837094,5007.790152837094,5007.790152837094,5007.790152837094,5007.790152837094,5007.790152837094,5007.790152837094,5007.790152837094,5007.790152837094,5007.790152837094,5007.790152837094,5007.790152837094,5007.790152837094,5007.790152837094,5007.790152837094,5007.790152837094,5007.790152837094,5007.790152837094,5007.790152837094,5007.790152837094,5007.790152837094,5007.790152837094,5007.790152837094,5007.790152837094,5007.790152837094,5007.790152837094,5007.790152837094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,Wald (ZH),Wald (ZH),2467,Wald ZH,Wald ZH,10450.906165775115,10450.906165775115,10450.906165775115,10450.906165775115,10450.906165775115,10450.906165775115,10450.906165775115,10450.906165775115,10450.906165775115,10450.906165775115,10450.906165775115,10450.906165775115,10450.906165775115,10450.906165775115,10450.906165775115,10450.906165775115,10450.906165775115,10450.906165775115,10450.906165775115,10450.906165775115,10450.906165775115,10450.906165775115,10450.906165775115,10450.906165775115,10450.906165775115,10450.906165775115,10450.906165775115,10450.906165775115,10450.906165775115,10450.906165775115,10450.906165775115,10450.906165775115,10450.906165775115,10450.906165775115,10450.906165775115,10450.906165775115,10450.906165775115,10450.906165775115,10450.906165775115,10450.906165775115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,Kilchberg (ZH),Kilchberg (ZH),1122,Küsnacht Goldbach,Küsnacht Goldbach,588.7198048975798,588.7198048975798,588.7198048975798,588.7198048975798,588.7198048975798,588.7198048975798,588.7198048975798,588.7198048975798,588.7198048975798,588.7198048975798,588.7198048975798,588.7198048975798,588.7198048975798,588.7198048975798,588.7198048975798,588.7198048975798,588.7198048975798,588.7198048975798,588.7198048975798,588.7198048975798,588.7198048975798,588.7198048975798,588.7198048975798,588.7198048975798,588.7198048975798,588.7198048975798,588.7198048975798,588.7198048975798,588.7198048975798,588.7198048975798,588.7198048975798,588.7198048975798,588.7198048975798,588.7198048975798,588.7198048975798,588.7198048975798,588.7198048975798,588.7198048975798,588.7198048975798,588.7198048975798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
248,Uitikon,Uitikon,213,Birmensdorf ZH,Birmensdorf ZH,3429.595681894274,2872.4429586755878,2872.4429586755878,2872.4429586755878,2872.4429586755878,2872.4429586755878,2872.4429586755878,2872.4429586755878,712.1951669250519,2872.442958675588,2872.4429586755878,2872.4429586755878,2872.442958675588,2872.4429586755878,2872.4429586755878,2872.442958675588,2872.4429586755878,2872.4429586755878,2872.4429586755878,1709.6422151600339,2872.4429586755878,2872.4429586755878,2872.4429586755878,2966.3762631030213,2872.4429586755878,2872.4429586755878,2872.4429586755878,2872.4429586755878,2872.4429586755878,2872.4429586755878,712.1951665982205,2872.4429586755878,2872.4429586755878,2872.4429586755878,2872.442958675588,2872.442958675588,2322.7075831296543,2872.4429586755878,2872.4429586755878,2872.4429586755878,2717.4005152960535,79.233844666936,557.1527232186863,16.24543459043992,557.1527232186863,16.24543459043992,2717.400514969222,79.23384465740627,1719.9534667342402,50.150327509867154,557.1527232186863,16.24543459043992,557.1527232186859,16.24543459043991,1106.8880987646198,32.27459448378039,557.1527232186863,16.24543459043992,557.1527232186863,16.24543459043992,557.1527232186863,16.24543459043992,557.1527232186863,16.24543459043992,557.1527232186863,16.24543459043992,557.1527232186863,16.24543459043992,557.1527232186863,16.24543459043992,557.1527232186859,16.24543459043991,557.1527232186863,16.24543459043992,557.1527232186863,16.24543459043992,557.1527232186863,16.24543459043992,557.1527232186863,16.24543459043992,557.1527232186863,16.24543459043992,557.1527232186863,16.24543459043992,557.1527232186863,16.24543459043992,557.1527232186863,16.24543459043992,557.1527232186863,16.24543459043992,557.1527232186863,16.24543459043992,557.1527232186863,16.24543459043992,557.1527232186863,16.24543459043992,557.1527232186859,16.24543459043991,557.1527232186863,16.24543459043992,557.1527232186859,16.24543459043991,557.1527232186863,16.24543459043992,557.1527232186863,16.24543459043992,557.1527232186863,16.24543459043992,557.1527232186863,16.24543459043992,557.1527232186863,16.24543459043992,557.1527232186863,16.24543459043992,557.1527232186859,16.24543459043991,463.2194187912528,13.506531432749009
244,Geroldswil,Geroldswil,2293,Urdorf,Urdorf,665.3241073311023,116.396104137048,116.396104137048,116.396104137048,116.396104137048,116.396104137048,116.396104137048,116.396104137048,100.39570487204188,116.396104137048,116.396104137048,116.396104137048,116.396104137048,116.396104137048,116.396104137048,116.396104137048,116.396104137048,116.396104137048,116.396104137048,100.39509926551696,116.396104137048,116.396104137048,116.396104137048,116.396104137048,116.396104137048,116.396104137048,116.396104137048,116.396104137048,116.396104137048,116.396104137048,100.39509926551702,116.39610413704807,116.396104137048,116.396104137048,116.396104137048,116.396104137048,116.396104137048,116.396104137048,116.396104137048,116.396104137048,564.9290080655852,84.91034697837053,548.9280031940542,82.50535297691793,548.9280031940542,82.50535297691793,564.9284024590604,84.91025595408354,564.9290080655853,84.91034697837053,548.9280031940542,82.50535297691793,548.9280031940542,82.50535297691793,548.9280031940542,82.50535297691793,548.9280031940542,82.50535297691793,548.9280031940542,82.50535297691793,548.9280031940542,82.50535297691793,548.9280031940542,82.50535297691793,548.9280031940542,82.50535297691793,548.9280031940542,82.50535297691793,548.9280031940542,82.50535297691793,548.9280031940542,82.50535297691793,548.9280031940542,82.50535297691793,548.9280031940542,82.50535297691793,548.9280031940542,82.50535297691793,548.9280031940542,82.50535297691793,548.9280031940542,82.50535297691793,548.9280031940542,82.50535297691793,548.9280031940542,82.50535297691793,548.9280031940542,82.50535297691793,548.9280031940542,82.50535297691793,548.9280031940542,82.50535297691793,548.9280031940542,82.50535297691793,548.9280031940542,82.50535297691793,548.9280031940542,82.50535297691793,548.9280031940542,82.50535297691793,548.9280031940542,82.50535297691793,548.9280031940542,82.50535297691793,548.9280031940542,82.50535297691793,548.9280031940542,82.50535297691793,548.9280031940542,82.50535297691793,548.9280031940542,82.50535297691793,548.9280031940542,82.50535297691793,548.9280031940542,82.50535297691793,548.9280031940542,82.50535297691793
54,Dietlikon,Dietlikon,638,Dietlikon,Dietlikon,1430.4699612770403,979.1273083158341,979.127308315834,1746.3341739469795,979.127308315834,979.127308315834,1745.9473746130557,1746.3341739470598,1809.5222554618933,979.1273083158341,1745.9473746130557,979.127308315834,979.127308315834,979.127308315834,1203.5092261041477,1746.0446697775874,979.127308315834,1865.909442255206,338.89413468183,1683.7146652341953,1799.674161739989,2300.270150450482,979.127308315834,979.127308315834,1745.9473753151221,979.1273083158341,979.127308315834,2300.2701536092545,979.127308315834,979.127308315834,1683.327866602258,1142.1754630140645,979.1273083158341,1799.6734789477375,338.89413468183,2300.270150450482,2235.61351464889,1799.674162126386,1865.909442255206,979.127308315834,-252.85790532521764,-17.676561701406218,-315.47741403808186,-22.054109668716286,-369.2042008493456,-25.809993277995268,-379.05229418485305,-26.49844487796565,-253.24470395715502,-17.70360167025618,-315.86421267001947,-22.081149637566263,1091.5758265952104,76.30889540810176,-805.1435533718497,-56.28524716821488,-869.8001923322142,-60.80520499400821,-869.8001891734418,-60.805204773187604,1091.5758265952104,76.30889540810176,451.34265296120634,31.552053882926273,451.3426529612062,31.552053882926266,451.3426529612062,31.552053882926266,451.34265296120634,31.552053882926273,451.34265296120634,31.552053882926273,451.34265296120634,31.552053882926273,451.34265296120634,31.552053882926273,451.34265296120634,31.552053882926273,226.96073517289256,15.866165757879685,451.34265296120634,31.552053882926273,451.34265296120634,31.552053882926273,451.34265296120634,31.552053882926273,-315.8642126699392,-22.081149637560653,451.34265296120634,31.552053882926273,-315.4774133360154,-22.054109619636858,-315.4774133360154,-22.054109619636858,-369.2042004629486,-25.809993250983375,-315.5747085005471,-22.060911241982346,288.2944982629758,20.153830983322663,-869.8001891734418,-60.805204773187604,-369.20351767069724,-25.80994551896034,-435.43948097816565,-30.440309322499203,-435.43948097816565,-30.440309322499203,451.34265296120634,31.552053882926273,451.34265296120634,31.552053882926273,451.3426529612062,31.552053882926266,451.3426529612062,31.552053882926266,451.34265296120634,31.552053882926273
228,Turbenthal,Turbenthal,2271,Turbenthal,Turbenthal,20089.522638416776,20089.522638416776,20089.522638416776,20089.522638416776,20089.522638416776,20089.522638416776,20089.522638416776,20089.522638416776,20089.522638416776,20089.522638416776,20089.522638416776,20089.522638416776,20089.522638416776,20089.522638416776,20089.522638416776,20089.522638416776,20089.522638416776,20089.522638416776,20089.522638416776,20089.522638416776,20089.522638416776,20089.522638416776,20089.522638416776,20089.522638416776,20089.522638416776,20089.522638416776,20089.522638416776,20089.522638416776,20089.522638416776,20089.522638416776,20089.522638416776,20089.522638416776,20089.522638416776,20089.522638416776,20089.522638416776,20089.522638416776,20089.522638416776,20089.522638416776,20089.522638416776,20089.522638416776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,Buchs (ZH),Buchs (ZH),603,Dielsdorf,Dielsdorf,6612.648100044384,6102.546996979301,5900.928711532815,5900.928711532815,5900.928711532815,5900.928711532815,5900.928711532815,4410.754772012058,5905.37583458905,5999.41965273521,5900.928711532815,5900.928711532815,5900.928711532815,5900.928711532815,5900.928711532815,5900.928711532815,5900.928711532815,5900.928711532815,5900.928711532815,5905.37583458905,5900.928711532815,4445.933857047046,5900.928711532815,6058.69827004319,2898.751433378162,5900.928711532815,5900.928711532815,4445.933857047046,5900.928711532815,5900.928711532815,4415.201894629431,5900.928711532815,5900.928711532815,5900.928711532815,5900.928711532815,5900.928711532815,4445.933857047046,4169.070603372232,5900.928711532815,5900.928711532815,2197.4462054149526,33.230956375861034,3713.896666666222,56.163531016285205,2443.577496672152,36.953085355559004,707.2722654553336,10.695749339067149,707.2722654553336,10.695749339067149,2201.8933280323254,33.29820814172081,711.7193885115685,10.763001111563634,2166.7142429973374,32.76621120943658,2166.7142429973374,32.76621120943658,2166.7142429973374,32.76621120943658,711.7193885115685,10.763001111563634,711.7193885115685,10.763001111563634,711.7193885115685,10.763001111563634,711.7193885115685,10.763001111563634,711.7193885115685,10.763001111563634,711.7193885115685,10.763001111563634,711.7193885115685,10.763001111563634,711.7193885115685,10.763001111563634,711.7193885115685,10.763001111563634,711.7193885115685,10.763001111563634,711.7193885115685,10.763001111563634,711.7193885115685,10.763001111563634,711.7193885115685,10.763001111563634,711.7193885115685,10.763001111563634,711.7193885115685,10.763001111563634,711.7193885115685,10.763001111563634,711.7193885115685,10.763001111563634,711.7193885115685,10.763001111563634,711.7193885115685,10.763001111563634,711.7193885115685,10.763001111563634,711.7193885115685,10.763001111563634,711.7193885115685,10.763001111563634,711.7193885115685,10.763001111563634,711.7193885115685,10.763001111563634,711.7193885115685,10.763001111563634,711.7193885115685,10.763001111563634,510.1011030650825,7.714021604471267,613.228447309174,9.27356844083474,553.9498300011937,8.377125496780566
